Title,Categories,Servings,Ingredients,Generated Recipe - Baseline 1,Generated Recipe - Baseline 2,Generated Recipe - Extended 1,Generated Recipe - Extended 2
dilled salmon salad,miamiherald	fish	salads,6 servings,"1 c  plain nonfat yogurt	2 tb finely chopped fresh dill	1 tb red wine vinegar	salt and freshly ground pepper	1    2-lb salmon fillet(1"" thick) cleaned of skin and sinew	1 tb canola oil	1/2 ts salt	1/2 ts freshly ground pepper	1 md cucumber	curly leaf lettuce	4    ripe tomatoes; finely sliced	2 md red onions; peeled and sliced thinly and separated into rings	1    lemon; halved lengthwise and thinly sliced",TRIMMED DATA,TRIMMED DATA,in a large bowl combine the vinegar salt pepper and pepper and mix well add the salt pepper and pepper and toss gently to coat with the remaining ingredients and mix well cover and refrigerate for hour before serving <EOS>,in a large skillet over medium heat add the onion and garlic and cook until the onion is tender add the garlic and cook for minutes add the onion and cook for minutes add the tomatoes and cook for minutes add the tomatoes and the salt and pepper to taste and taste <EOS>
divine hollandaise,sauces	ceideburg 2,1 servings,"1/2 ts saffron threads	3 lg egg yolks	1 c  unsalted buffer, in pieces (225g)	2 tb lemon juice	1 tb hot water",combine all ingredients in a large bowl . mix well . pour into a greased 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9,"in a large bowl , combine the sugar , lemon juice , lemon juice , lemon juice , lemon juice , lemon juice , cinnamon , and salt . add the egg and mix well . add the cream and mix well . add the egg and mix well . add the egg and mix well . pour",in a large saucepan bring to a boil over medium heat add the salt and pepper and cook for minutes add the water and cook for minutes add the water and cook for minutes add the water and cook for minutes or until tender drain the liquid reserving the,combine all ingredients except the cream and tartar in a medium sized bowl add the rest of the ingredients and mix well pour into a greased x x inch baking pan bake at degrees for minutes or until the meat is golden brown and golden brown on the side
dixieland frycakes,none,4 servings,"1 1/2 c  boiling water	1 1/3 c  grits	2 tb golden syrup, honey or light molasses	1 tb butter	3/4 c  milk	2/3 c  all purpose flour	4 ts baking powder	3/4 ts salt	1/4 c  vegetable oil	1 c  golden syrup, honey or light molasses",combine all ingredients in a large bowl . mix well . pour into a greased 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 13 x 9 x 13 x 9 x 13 x 9 x 13 x 9 x 13 x 9 x 13 x 9 x 13 x 9 x 13 x 9 x 13 x 9 x 13 x 9 x 13 x 9 x 13 x 9 x 13 x 9,mix all ingredients together . pour into greased and floured 9 '' pie pan . bake at 350 deg . for 20 minutes or until golden brown . cool completely .  <EOS>,preheat oven to f in a large bowl combine flour baking powder and salt in a large bowl stir together flour baking powder and salt and pepper to taste mix well stir in flour and baking powder and mix thoroughly add to the milk and mix well bake at f for minutes or until golden brown serve immediately <EOS>,in a large bowl combine the flour baking powder and salt and pepper in a large bowl combine the flour baking powder and salt and salt in a large bowl stir in the flour and salt add the flour and salt and pepper to taste mix well and pour into a greased x x inch baking pan bake at degrees for minutes or until the cheese is melted and the mixture is melted <EOS>
dorothys easy do butter cookies,cookies	desserts	holiday,4 dozen,2 1/3 c  all purpose flour	1 c  powdered sugar	1 c  soft butter	1 l  egg	1 1/2 ts vanilla	1/2 ts salt,"in a large bowl , combine the flour , baking powder , salt , and salt . add the flour and mix well . add the remaining ingredients and mix well . pour into a greased 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x","mix together the flour , baking powder , salt , and cinnamon . add the egg and mix well . add the milk and mix well . pour into a greased 13x9x2-inch pan . bake at 350 degrees f. for 20 minutes .  <EOS>",in a large mixing bowl beat butter and sugar until light and fluffy add the flour and beat until light and fluffy add the flour and salt and beat until light and fluffy add the flour and beat until light and fluffy add the flour and beat,in a large bowl combine the butter and sugar and salt and pepper in a medium bowl add the eggs and vanilla beat until the mixture is smooth and elastic and about minutes rrb add the flour and the butter and mix well add the flour and
dovi peanut butter stew,african	stews,4 servings,"stephen ceideburg	2 tb butter	2 md onions, finely chopped	2    garlic cloves, finely sliced an crushed	1 ts salt	1/2 ts pepper	1    chile pepper, seeded, minced	1    chicken, cut in serving pieces	2    green bell peppers, cored, seeded, chopped	3    to 4 tomatoes, cored, coarser chopped	2 c  water	6 tb smooth peanut butter	1/2 lb spinach",TRIMMED DATA,TRIMMED DATA,in a large saucepan bring water to a boil over medium heat add the onions and cook for minutes or until the vegetables are tender drain the vegetables and add the broth and cook for minutes add the broth and cook for minutes or until the vegetables are tender drain the rice and add the broth and the garlic and cook for minutes add the broth and cook for minutes add the broth and cook for minutes or until the vegetables are tender drain the vegetables and add the broth and cook for minutes add the broth and cook for minutes or until the vegetables are tender crisp remove the pan from the heat and add the broth and cook for minutes or until the vegetables are tender serve with,in a large skillet over medium heat add the onion and garlic and cook until the onion is tender add the onion and cook for minutes add the onion and cook for minutes add the tomatoes and cook for minutes add the tomatoes and cook for minutes add the rice and stir fry for minutes add the remaining ingredients and cook for minutes add the rice and stir fry for minutes add the remaining ingredients and cook for minutes add the rice and the sauce and cook for minutes add the rice and stir fry for minutes add the remaining ingredients and cook for minutes add the rice and stir fry for minutes add the remaining ingredients and cook for minutes add the cooked rice and the sauce and cook
drunken apple/pumpkin pie,fruits	harned 1994	nuts	pies,serves 6 to 8.,2    eggs	3/4 c  brown sugar; firmly packed	1    9-inch pie shell; unbaked	1 c  cooked pumpkin - mashed and drained	1 c  applesauce; thick & chunky	1 tb flour	1/2 ts salt	1 ts each cinnamon and ginger	1/4 ts nutmeg	1/8 ts each allspice and cloves	1 1/2 c  half-and-half or vaporated milk	1 ts vanilla	1 c  pecan halves	2 tb rum,combine all ingredients in a large bowl . mix well . pour into a greased 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 13 x 9 x 13 x 9 x 13 x 9 x 13 x 9 x 13 x 9 x 13 x 9 x 13 x 9 x 13 x 9 x 13 x 9 x 13 x,mix together the dry ingredients . add the egg and vanilla . mix well . pour into a greased 9 '' pie pan . bake at 350 deg . for 20 minutes or until golden .  <EOS>,combine butter and sugar until light and fluffy add eggs and cream and beat until smooth add eggs and beat until smooth and creamy add eggs and cream and stir until smooth add eggs and cream and beat until smooth and creamy stir in cream and vanilla and mix well pour into pie shell bake at f for to minutes or until lightly browned <EOS>,in a large bowl combine the flour baking powder and salt and pepper in a large bowl beat egg whites until stiff and fluffy add the egg yolks and vanilla beat until stiff peaks form fold in the flour and vanilla add the egg whites and beat until smooth and elastic and form into a ball and place in a greased x x inch baking pan bake at for minutes or until golden brown cool on wire rack <EOS>
tangy corn,vegetables	country wom,6 servings,"1 cn corn, whole kernel, canned	1 cn corn -- cream-style 15 oz	16 oz drained	3 tb barbecue sauce -- bottled",combine all ingredients in a large bowl . mix well . pour into a greased 9 x 9 x 9 x 9 x 9 x 9 x 9 x,"in a large bowl , combine all ingredients . mix well . add remaining ingredients . cover and refrigerate until ready to serve .  <EOS>",combine first ingredients in a large saucepan bring to a boil reduce heat and simmer for minutes add the corn,in a large bowl combine the vinegar and salt and pepper to taste in a large bowl combine the remaining
baked cranberry pudding,desserts	tasteofhome	puddings,1 servings,"1 c  packed brown sugar	1 ts baking powder	2    eggs -- separated	1/2 ts cream of tartar -- divided	1/2 c  whipping cream	1/8 ts salt	2 ts vanilla extract	3 c  cranberries -- coarsely	1 ts ground cinnamon	chopped	1/2 ts ground nutmeg	1/4 c  butter or margarine --	1 1/2 c  all-purpose flour	melted	3 tb grated orange peel	1 1/2 c  sugar	sweetened whipped cream, range juice                             optional	2 1/2 c  whole cranberries",TRIMMED DATA,TRIMMED DATA,TRIMMED DATA,TRIMMED DATA
layered banana pudding,desserts	tasteofhome,1 servings,"1/3 c  all-purpose flour	1 ts vanilla extract	2/3 c  packed brown sugar	1 c  heavy cream -- whipped	2 c  milk	6 ea bananas -- firm sliced	2 ea egg yolks -- beaten	chopped walnuts, optional	2 tb butter or margarine","in a large skillet , heat oil in a large skillet over medium-high heat . add onion and saute until tender . add remaining ingredients and stir until well blended . add remaining ingredients and mix well . pour into greased 9 '' pie plate . bake at 350 degrees for 30 minutes .  <EOS>","in a large bowl , combine all ingredients . mix well . pour into greased and floured 9 '' pie pan . bake at 350 deg . for 12-15 minutes .  <EOS>",combine the milk and the milk in a large saucepan bring to a boil over low heat stirring constantly until the mixture thickens and thickens stirring constantly remove from heat and stir in the milk and cook stirring occasionally until the mixture thickens and thickens add the milk and cook stirring constantly until the mixture thickens and thickens stirring constantly remove from heat and stir in the cream and the milk and cook stirring constantly until the mixture thickens and thickens stirring constantly remove from heat and stir in the milk and cook for minutes or until the mixture thickens and thickens remove from the heat and stir in,in a large bowl combine the flour and salt and pepper in a medium bowl combine the egg yolks and vanilla add the egg yolks and vanilla beat until smooth and elastic fold in the flour and vanilla add the flour mixture and beat until smooth and elastic fold in the flour mixture and mix well pour into prepared pan bake at degrees for minutes or until the cake is golden brown cool on wire rack <EOS>
llme cream dessert,desserts	tasteofhome,1 servings,1 ea egg -- beaten	1 ts lime peel -- grated	1/4 c  sugar	2 dr green food coloring	1/4 c  butter or margarine	2/3 c  whipped cream	1/4 c  lime juice,combine all ingredients in a large bowl . mix well . pour into a greased 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x,"in a large bowl , combine the sugar , butter , and salt . mix well . add the egg , and mix well . pour into a greased 9 '' x 13 x 9 '' x 13 x 9 '' pan . bake at 350 degrees for 20 minutes .  <EOS>",combine the first ingredients and mix well chill before serving <EOS>,in a large bowl combine the sugar and salt and pepper in a medium bowl add the sugar and vanilla beat until the mixture is smooth and elastic and about minutes rrb add the flour and salt and taste and taste <EOS>
mock pasta alfredo,pasta/rice	tasteofhome,1 servings,1 1/2 c  1% cottage cheese	1/2 ts dry mustard	1/2 c  skim milk	1/2 ts pepper	2 ea garlic cloves -- minced	1/4 ts salt -- optional	2 tb all-purpose flour	8 oz corkscrew noodles --	1 tb lemon juice	cooked/drained	1 ts dried basil	2 ea tomatoes -- seeded/chopped,combine all ingredients in a large bowl . mix well . pour into a greased 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x 9 x,"in a large skillet , heat the oil over medium-high heat . add the garlic , onion , garlic , and cook over medium heat until the vegetables are tender . add the garlic , salt , pepper , and cook until the rice is melted . add the garlic , and cook over low heat until the vegetables are cooked .  <EOS>",in a large saucepan combine the milk and the milk cook stirring until the sauce thickens and thickens and the sauce is evaporated stir in the sour cream and the cheese and cook stirring constantly until the mixture thickens and thickens stirring constantly add the milk and cook stirring constantly until the sauce thickens and thickens and thickens <EOS>,in a large skillet over medium heat add the onion and garlic and cook until the onion is tender add the onion and saute for minutes add the onion and cook for minutes add the onion and cook until the onion is tender add the cooked rice and stir fry for minutes add the remaining ingredients and stir fry for minutes
